alert_type,is_critical,vbt,vct,vmt,vbv,vbc,soc,speed
Deep Discharge Warning,1,53.71,72.83,73.19,43.46,-59.91,3.14,9.32
Low SoC,1,43.12,58.36,57.34,46.67,-46.06,13.22,25.95
Low SoC,1,32.79,34.4,43.14,48.16,-45.64,11.37,15.4
Harsh Braking,0,28.54,36.31,44.84,71.99,-19.56,70.65,22.64
Harsh Braking,0,28.97,35.35,41.03,74.13,-18.31,79.31,36.42
Low SoC,1,54.35,63.9,91.2,46.98,-49.71,15.61,12.53
Consecutive Fast Charging,1,37.46,51.89,54.11,46.56,-58.04,12.4,6.3
OverSpeed,0,34.49,48.65,46.22,76.64,-28.01,86.98,50.66
Harsh Cornering,0,25.04,29.96,48.89,76.3,-19.65,84.66,27.62
Harsh Braking,0,30.04,30.52,46.38,63.43,-8.75,41.13,37.21
Low SoC,1,45.36,55.07,76.75,48.63,-52.98,12.23,22.34
Harsh Acceleration,0,19.17,27.36,30.75,79.25,-10.07,96.39,32.57
Low SoC,1,46.37,64.23,82.02,48.19,-40.47,6.89,9.07
OverSpeed,0,34.83,41.21,55.76,71.19,-1.31,69.46,42.87
Deep Discharge Warning,1,51.42,60.14,64.78,45.91,-41.86,2.92,10.95
Harsh Braking,0,30.04,34.89,41.0,67.25,-8.94,48.26,16.54
Harsh Cornering,0,30.24,38.01,38.36,64.22,1.89,43.67,40.92
Deep Discharge Warning,1,34.22,46.3,60.44,45.98,-30.03,5.66,38.82
Deep Discharge Warning,1,40.96,46.36,61.19,46.98,-46.49,8.78,8.71
Battery Under Voltage,1,37.72,45.4,69.15,49.47,-23.69,14.53,2.48
Battery Under Voltage,1,44.96,63.62,55.14,48.62,-34.49,16.83,5.85
Deep Discharge Warning,1,37.6,47.22,84.18,47.07,-31.97,12.46,9.19
Thermal Overheat Surge,1,45.96,56.93,75.91,43.78,-46.14,3.6,3.6
Harsh Cornering,0,29.54,33.75,43.68,75.99,-10.11,89.5,26.85
Harsh Braking,0,31.46,36.12,34.99,72.44,-20.73,71.72,29.17
Harsh Acceleration,0,32.07,37.04,43.12,70.04,-29.88,62.93,20.26
Thermal Overheat Surge,1,28.52,36.98,67.77,49.85,-29.15,14.15,3.42
Harsh Acceleration,0,31.36,37.96,39.7,63.4,-15.69,41.04,46.14
Harsh Braking,0,31.79,36.25,50.72,71.51,-10.62,65.81,21.28
Deep Discharge Warning,1,47.57,60.86,92.47,47.06,-55.44,10.08,5.23
Harsh Braking,0,31.45,37.71,50.97,65.44,1.96,50.56,44.57
Harsh Acceleration,0,33.29,36.95,49.8,74.26,-18.77,77.12,24.68
Deep Discharge Warning,1,31.58,44.82,48.7,45.12,-60.71,4.62,14.54
OverSpeed,0,36.65,42.52,49.71,66.0,-12.9,49.38,59.17
Harsh Cornering,0,31.36,35.12,36.13,64.36,-20.27,46.24,32.5
Harsh Braking,0,26.18,32.73,37.35,78.59,-9.67,95.2,32.65
Deep Discharge Warning,1,42.58,52.88,70.34,41.6,-63.06,1.81,2.14
Low SoC,1,32.8,42.79,60.06,45.38,-53.29,5.88,28.28
Battery Under Voltage,1,42.93,61.21,82.2,46.66,-66.87,4.04,19.44
Deep Discharge Warning,1,37.05,49.4,60.39,49.39,-51.13,14.35,26.38
Harsh Braking,0,32.4,35.65,30.14,69.78,-14.32,69.1,39.48
Deep Discharge Warning,1,50.98,60.47,70.76,46.55,-42.97,1.86,5.83
Harsh Acceleration,0,31.91,40.08,38.32,75.91,-7.34,86.44,19.99
Deep Discharge Warning,1,43.77,53.78,78.19,49.11,-52.61,10.13,34.79
Harsh Braking,0,29.52,35.5,47.22,65.29,-15.79,41.89,35.38
OverSpeed,0,25.69,29.0,39.34,74.23,-10.48,79.29,40.11
Harsh Acceleration,0,27.78,29.77,35.05,74.06,-21.81,83.75,48.39
Deep Discharge Warning,1,49.18,61.07,77.91,48.57,-36.39,7.89,32.73
Battery Under Voltage,1,42.65,51.11,62.04,46.99,-65.21,7.02,42.27
Battery Under Voltage,1,55.22,74.7,77.99,44.6,-32.59,7.82,7.03
Deep Discharge Warning,1,42.69,54.78,70.16,46.54,-26.16,4.94,40.99
Deep Discharge Warning,1,32.79,53.35,51.1,46.63,-55.86,9.32,23.73
Deep Discharge Warning,1,49.38,61.91,78.65,47.91,-32.01,7.69,58.88
Harsh Acceleration,0,33.86,37.47,52.13,69.01,-15.09,59.38,33.95
Harsh Cornering,0,32.21,40.97,40.34,68.43,2.02,58.78,41.01
Low SoC,1,32.97,48.73,67.86,48.33,-60.7,16.93,0.29
Consecutive Fast Charging,1,46.87,64.25,67.71,46.05,-38.52,7.54,79.66
Deep Discharge Warning,1,49.85,61.22,80.29,47.3,-23.42,6.4,11.23
OverSpeed,0,25.95,36.76,40.54,64.86,-16.81,46.51,31.78
Harsh Acceleration,0,27.3,31.62,51.86,73.99,-31.18,79.17,35.98
Harsh Braking,0,37.43,46.7,53.43,76.58,-0.59,85.81,27.78
Battery Under Voltage,1,48.75,60.41,90.6,45.97,-25.0,5.6,14.36
OverSpeed,0,29.5,32.67,43.79,73.37,6.76,77.66,42.69
Low SoC,1,41.94,56.94,58.14,45.64,-38.5,3.78,54.65
Harsh Cornering,0,20.92,25.89,36.69,72.29,-3.56,72.83,36.87
Low SoC,1,46.88,61.09,76.39,46.66,-43.17,10.69,1.82
Low SoC,1,53.08,68.62,81.4,46.49,-43.61,6.75,19.44
Harsh Braking,0,28.14,32.07,40.14,76.65,6.97,93.9,37.62
Harsh Acceleration,0,34.79,38.58,41.13,77.91,-21.47,89.05,47.26
Low SoC,1,39.62,52.57,63.28,46.26,-33.93,10.21,52.0
OverSpeed,0,29.74,35.03,41.67,80.54,-31.28,93.84,19.28
Consecutive Fast Charging,1,46.83,57.73,71.7,46.75,-38.09,4.36,78.8
Battery Under Voltage,1,45.07,62.54,73.36,46.87,-54.55,12.44,3.38
Harsh Braking,0,33.42,38.47,53.24,63.44,-2.21,40.71,60.26
Battery Under Voltage,1,57.86,70.7,94.7,47.98,-66.19,9.59,2.36
OverSpeed,0,32.99,38.52,43.38,72.35,1.54,77.74,19.65
Deep Discharge Warning,1,32.66,43.29,56.59,47.75,-44.86,3.71,32.86
OverSpeed,0,21.96,28.41,32.1,79.01,-2.89,91.03,25.98
Battery Under Voltage,1,33.05,47.37,53.22,46.78,-44.24,3.98,0.17
Battery Under Voltage,1,36.71,53.69,48.71,46.4,-66.84,2.23,20.19
Deep Discharge Warning,1,41.2,60.33,73.49,46.13,-45.31,4.71,0.48
Harsh Cornering,0,28.96,36.05,47.47,68.3,-7.6,63.19,15.33
Low SoC,1,38.58,52.2,64.45,45.97,-37.6,4.8,24.63
Consecutive Fast Charging,1,40.29,51.73,56.98,45.04,-48.65,0.94,13.76
Deep Discharge Warning,1,45.18,58.99,65.16,44.92,-40.17,2.17,12.97
Deep Discharge Warning,1,47.24,64.18,73.81,46.04,-28.74,5.79,13.51
Low SoC,1,32.87,46.77,65.85,45.28,-46.31,12.72,3.02
Harsh Braking,0,31.62,35.57,40.4,72.3,-6.77,68.9,33.73
Low SoC,1,38.7,52.72,41.88,47.07,-26.05,13.55,5.05
Low SoC,1,44.13,60.12,54.92,48.11,-63.56,19.03,2.93
Battery Under Voltage,1,42.23,51.47,80.19,45.67,-53.4,5.68,10.75
Low SoC,1,45.53,57.95,66.75,47.13,-49.9,4.63,9.82
Deep Discharge Warning,1,50.85,64.69,72.14,48.98,-45.98,17.56,97.19
Low SoC,1,45.5,53.38,77.82,44.64,-60.67,9.25,12.82
Harsh Braking,0,26.24,38.26,35.56,64.32,-23.41,45.75,33.55
Low SoC,1,50.48,60.42,85.2,45.97,-82.2,3.31,1.97
Deep Discharge Warning,1,33.53,41.21,53.49,46.99,-65.63,7.45,41.59
Harsh Braking,0,28.73,32.3,44.11,75.09,-9.12,85.0,26.16
Low SoC,1,35.59,45.67,60.57,46.84,-15.44,9.62,5.76
Thermal Overheat Surge,1,46.97,64.85,89.56,45.87,-22.79,3.12,8.72
Harsh Cornering,0,34.74,38.21,41.33,67.11,-15.88,54.66,47.74
Harsh Acceleration,0,30.67,37.85,39.5,72.89,-10.27,79.7,12.01
Harsh Braking,0,24.73,28.87,46.79,67.58,-12.96,57.04,46.79
Deep Discharge Warning,1,33.82,41.29,66.31,48.99,-56.76,17.77,37.71
Battery Under Voltage,1,43.18,52.41,65.88,45.9,-29.29,0.18,17.93
OverSpeed,0,30.63,36.27,47.16,73.55,-0.68,74.72,47.3
Deep Discharge Warning,1,48.98,57.07,77.34,47.23,-48.06,9.12,2.28
OverSpeed,0,34.64,43.04,42.35,68.72,-15.08,61.04,16.18
Harsh Acceleration,0,27.41,34.06,42.02,77.77,-23.89,91.19,45.65
Battery Under Voltage,1,46.5,58.12,66.66,46.5,-22.09,14.59,0.86
Harsh Acceleration,0,27.35,31.85,43.49,74.06,-20.28,76.34,31.74
Harsh Cornering,0,28.97,40.54,33.75,75.08,-17.09,80.36,18.93
Harsh Acceleration,0,30.84,40.0,51.28,78.82,-32.44,93.7,34.78
Low SoC,1,39.58,45.09,69.79,44.73,-22.38,1.48,2.44
Harsh Acceleration,0,25.82,29.33,29.27,71.41,2.41,68.49,13.64
Low SoC,1,40.32,49.89,69.13,47.79,-55.44,8.86,17.61
Low SoC,1,30.51,42.44,60.37,47.16,-28.45,5.69,19.88
Harsh Braking,0,30.56,36.23,32.54,67.06,4.36,53.28,27.97
Harsh Cornering,0,33.31,36.95,42.18,74.35,-15.06,80.43,11.09
Low SoC,1,37.5,37.69,79.47,47.88,-72.5,10.57,6.81
Thermal Overheat Surge,1,40.76,54.08,62.59,42.97,-23.88,0.4,17.66
Harsh Acceleration,0,30.5,37.39,39.84,70.12,-6.33,63.6,33.7
Harsh Acceleration,0,36.76,44.94,45.51,77.84,-7.69,90.45,50.33
Harsh Braking,0,25.51,30.69,38.01,63.86,-17.13,45.58,41.29
Harsh Acceleration,0,34.55,37.16,42.0,75.37,-39.89,84.28,41.61
Harsh Braking,0,30.21,38.51,45.77,70.28,-3.95,63.43,48.61
Deep Discharge Warning,1,38.78,49.47,58.12,45.27,-43.85,11.3,5.98
Deep Discharge Warning,1,54.81,72.55,81.56,45.86,-24.86,4.43,0.49
Harsh Acceleration,0,32.08,39.4,45.52,65.71,-11.34,52.33,18.29
Deep Discharge Warning,1,42.72,54.87,67.03,47.31,-41.79,0.82,7.0
Battery Under Voltage,1,38.72,49.75,62.68,47.26,-52.05,7.22,0.17
Low SoC,1,42.16,55.85,65.72,50.31,-55.86,23.97,1.12
Harsh Acceleration,0,38.25,47.8,53.22,65.49,-16.3,48.68,36.17
Low SoC,1,44.08,48.13,67.17,45.05,-45.84,1.24,2.34
Low SoC,1,41.02,60.65,65.11,47.2,-40.93,2.88,6.29
Harsh Acceleration,0,29.14,38.84,37.25,64.59,-43.01,48.28,43.82
Low SoC,1,25.65,40.88,63.57,47.11,-53.12,3.63,0.26
Low SoC,1,39.4,53.21,73.59,44.62,-52.2,3.78,25.37
Deep Discharge Warning,1,45.82,58.49,67.51,46.81,-32.25,6.74,24.07
OverSpeed,0,24.16,31.18,37.29,74.05,-21.45,81.9,43.58
Harsh Acceleration,0,35.64,42.3,49.11,65.94,-11.14,50.99,55.46
Harsh Braking,0,30.6,36.47,47.45,78.13,-17.43,92.12,37.26
Harsh Braking,0,34.82,40.72,53.71,64.42,-5.54,47.59,34.47
Battery Under Voltage,1,46.5,52.13,73.11,47.04,-51.71,7.14,8.05
Consecutive Fast Charging,1,28.63,40.24,46.79,45.01,-51.13,11.83,12.99
Harsh Cornering,0,32.91,40.75,41.67,68.33,-30.37,57.81,38.01
Harsh Acceleration,0,33.82,44.01,39.64,70.68,-20.84,67.18,24.92
OverSpeed,0,28.76,35.38,44.21,74.07,-9.29,77.94,27.79
Harsh Acceleration,0,31.43,38.6,49.29,71.08,-1.31,67.94,16.77
Harsh Acceleration,0,38.25,43.24,46.37,67.66,-16.68,51.67,45.22
Battery Under Voltage,1,51.22,59.98,72.33,46.48,-56.61,8.5,6.78
Harsh Braking,0,31.66,40.86,38.71,64.74,-23.6,47.11,28.07
Battery Under Voltage,1,44.52,55.67,67.9,44.5,-31.1,0.61,0.5
Low SoC,1,68.79,80.82,100.79,46.59,-26.72,5.86,4.16
Harsh Braking,0,27.7,32.56,42.91,66.3,-7.22,52.65,21.26
Thermal Overheat Surge,1,37.45,52.5,49.25,45.39,-50.06,5.74,12.14
Battery Under Voltage,1,36.27,41.43,64.6,47.83,-36.5,13.21,1.04
Low SoC,1,37.74,47.49,64.4,45.52,-64.86,2.94,20.32
Harsh Acceleration,0,28.22,34.37,38.56,66.26,-4.28,56.21,41.8
Deep Discharge Warning,1,39.3,51.86,41.02,50.26,-25.38,14.09,7.71
Harsh Cornering,0,33.49,44.19,47.48,69.44,-14.11,60.32,25.43
Low SoC,1,37.37,47.93,64.92,49.25,-19.3,16.01,0.46
Consecutive Fast Charging,1,47.55,51.54,75.63,46.28,-57.84,2.79,14.07
Harsh Braking,0,33.05,38.57,46.91,66.89,-5.78,56.82,31.04
Harsh Cornering,0,32.31,37.76,53.74,77.46,-20.82,91.34,21.2
Deep Discharge Warning,1,32.14,45.21,76.56,49.97,-41.22,25.04,3.66
Harsh Acceleration,0,31.22,35.69,40.95,76.29,-25.6,91.33,6.17
Low SoC,1,48.0,59.53,79.08,46.55,-18.03,5.34,17.44
Harsh Braking,0,34.52,39.34,48.1,80.19,-13.86,97.13,6.47
Low SoC,1,44.12,53.32,68.91,44.9,-69.27,2.02,2.18
Harsh Braking,0,31.35,37.27,40.44,71.68,-22.41,76.89,31.69
Deep Discharge Warning,1,50.99,59.87,68.27,46.23,-57.08,13.12,6.88
OverSpeed,0,31.55,40.23,41.17,65.41,-25.72,46.48,9.56
Deep Discharge Warning,1,47.92,57.29,68.36,46.39,-54.8,5.32,5.44
Low SoC,1,39.6,47.9,70.59,45.04,-50.5,3.18,17.02
Battery Under Voltage,1,64.18,75.44,94.4,46.49,-50.79,4.76,24.3
Consecutive Fast Charging,1,37.03,51.48,59.6,46.12,-55.19,8.2,79.11
Harsh Braking,0,19.95,27.51,29.15,68.79,-23.82,61.4,31.79
Harsh Acceleration,0,30.31,34.71,40.43,77.31,-20.02,88.31,27.55
Deep Discharge Warning,1,39.12,46.35,70.17,47.68,-49.5,9.42,24.22
Battery Under Voltage,1,23.42,28.38,37.82,46.33,-58.89,5.02,18.14
Harsh Acceleration,0,36.98,39.64,55.71,73.79,-31.06,81.36,35.4
OverSpeed,0,31.02,34.47,43.32,70.62,3.63,66.67,34.63
Consecutive Fast Charging,1,47.52,61.71,69.2,44.44,-58.19,3.95,4.27
Harsh Acceleration,0,28.57,35.05,45.1,74.17,0.94,78.44,33.93
Deep Discharge Warning,1,35.79,45.47,58.32,48.75,-45.96,15.54,25.36
Harsh Acceleration,0,28.18,34.02,38.77,63.03,-10.14,40.9,21.98
Consecutive Fast Charging,1,39.5,45.04,62.83,47.34,-26.4,10.47,5.71
Battery Under Voltage,1,39.6,58.65,71.3,47.09,-54.73,9.5,9.84
Harsh Acceleration,0,26.29,31.95,39.85,77.45,8.18,89.84,19.05
Consecutive Fast Charging,1,48.25,60.64,61.01,44.36,-42.07,1.94,4.86
Harsh Braking,0,34.09,41.01,47.53,76.94,-4.21,88.45,19.39
Battery Under Voltage,1,42.81,59.25,81.36,47.69,-28.64,8.03,2.05
Harsh Acceleration,0,29.71,37.46,35.62,71.52,-4.33,66.12,32.61
Deep Discharge Warning,1,28.75,38.28,47.52,46.72,-53.83,11.95,0.43
Harsh Acceleration,0,27.83,37.71,38.56,67.54,-20.82,55.27,13.47
Deep Discharge Warning,1,51.02,65.76,80.51,46.36,-26.73,17.29,14.45
Consecutive Fast Charging,1,46.28,63.98,62.02,44.36,-57.26,6.02,13.86
Deep Discharge Warning,1,29.2,39.49,42.85,45.91,-43.86,2.87,20.21
Consecutive Fast Charging,1,47.65,66.87,67.81,49.32,-41.2,15.98,19.01
Harsh Acceleration,0,31.66,36.38,49.24,77.71,-22.41,95.34,41.06
Battery Under Voltage,1,40.55,52.08,63.23,45.47,-59.11,5.17,2.15
Harsh Braking,0,28.34,34.92,38.52,68.48,-7.87,64.68,37.49
Harsh Cornering,0,28.96,33.37,34.73,77.96,-9.76,89.93,51.27
Harsh Braking,0,31.6,36.48,38.75,66.84,-2.13,53.92,47.79
Consecutive Fast Charging,1,40.44,56.35,75.54,45.33,-79.45,7.85,20.45
Battery Under Voltage,1,49.67,58.25,59.38,47.86,-42.52,9.79,0.84
Low SoC,1,37.32,56.77,57.48,45.76,-36.74,5.12,0.96
Battery Under Voltage,1,40.81,58.66,57.67,47.15,-56.6,16.84,12.62
Harsh Acceleration,0,26.02,31.22,45.64,76.93,-31.96,85.52,24.54
Battery Under Voltage,1,42.46,60.76,66.87,46.02,-58.16,6.21,7.82
Deep Discharge Warning,1,34.74,44.97,54.78,46.1,-65.26,8.86,6.77
Harsh Braking,0,26.31,31.53,39.5,75.13,-22.98,83.46,27.5
Harsh Acceleration,0,32.43,37.85,37.7,78.05,-6.56,97.74,8.61
OverSpeed,0,31.12,36.11,42.26,79.4,-5.86,97.31,37.01
Harsh Braking,0,29.0,35.13,42.89,77.54,4.16,89.09,20.94
Low SoC,1,45.11,59.18,60.09,48.5,-43.13,20.9,12.51
Deep Discharge Warning,1,37.24,49.79,66.27,46.51,-23.96,5.46,25.31
Battery Under Voltage,1,45.08,58.68,73.8,45.49,-22.35,6.25,5.47
Deep Discharge Warning,1,47.25,61.66,61.9,47.14,-35.38,8.62,7.36
Deep Discharge Warning,1,40.72,53.5,53.99,46.36,-59.61,3.24,17.47
Low SoC,1,44.59,55.09,65.37,46.5,-77.89,8.4,3.39
Harsh Acceleration,0,27.65,30.13,45.4,74.81,-19.4,85.01,50.47
Deep Discharge Warning,1,35.78,51.01,71.11,46.87,-51.06,6.5,3.85
Consecutive Fast Charging,1,38.39,58.91,70.75,46.41,-32.17,7.43,8.16
Harsh Braking,0,31.03,35.72,40.2,77.44,-15.89,89.03,35.16
Harsh Cornering,0,23.38,27.43,33.08,63.27,-35.49,45.01,37.5
Harsh Braking,0,30.71,39.06,35.29,70.13,-2.31,63.05,29.07
Consecutive Fast Charging,1,55.76,66.76,87.23,44.55,-49.53,1.97,17.99
Deep Discharge Warning,1,51.68,65.11,65.63,44.27,-68.38,5.34,26.63
Harsh Acceleration,0,28.39,31.67,37.31,64.23,-25.43,46.29,27.59
Harsh Acceleration,0,26.56,32.58,31.28,72.39,-20.01,76.93,36.7
Deep Discharge Warning,1,47.52,62.06,75.51,44.03,-39.49,8.21,30.17
Harsh Braking,0,29.73,36.45,43.29,71.96,-4.3,65.35,22.05
Harsh Acceleration,0,23.61,27.89,27.7,77.92,-10.1,94.6,44.67
Harsh Braking,0,34.27,36.91,50.23,79.3,-25.99,96.45,12.78
Deep Discharge Warning,1,41.91,56.71,61.06,46.91,-52.07,3.8,4.4
Harsh Braking,0,32.41,36.98,47.05,65.8,-4.44,48.95,34.58
Thermal Overheat Surge,1,27.97,44.56,54.17,44.16,-45.39,2.0,11.52
Battery Under Voltage,1,20.11,25.16,54.83,48.14,-34.23,19.73,17.48
Deep Discharge Warning,1,31.46,45.37,49.75,46.88,-30.88,8.6,1.44
Harsh Cornering,0,35.42,37.88,61.1,66.22,-21.98,55.39,29.36
